,year,country,sentence
122,1944,South Africa,"18961990 Sherman , Forrest Percival 18961951 Sherman , Frederick Carl 18881957 Shigemitsu Mamoru 18871957 Shimada Shigetaro 18831976 Shinano , IJN , Sinking November 29 , 1944 Ship Combat Information Center SH Plans Short , W alter Campbell 18801949Shtemenko , Ser gei Matveevich 19071976 Shumilov , Mikhail Stepanovich 18951975 Shuttle Bombing , Soviet Union JuneAugust 1944 Siberian Internment Japanese SICHELSCHNITT , Operation 1940 Sicily , Invasion July 9August 22 , 1943 Sicily , Strait Sidon , Engagement f June 9 , 1941 Siegfried Line , Breaking OctoberDecember 1944 Signals Intelligence Sikorski , Wadysaw Eugeniusz 18811943 Simonds , Guy Granville 19031974 Simovi , Duan 18821962 Simpson , W illiam Hood 18881980 Singapore , Battle February 815 , 1942 SinoJapanese W ar 19371945 Sirte , First Battle December 17 , 1941 Sirte , Second Battle March 22 , 1942 Sittang , Battle February 1823 , 1942 Sitzkrieg October 4 , 1939May 10 , 1940 Skerki Bank , Battle near December 2 , 1942 Skorzeny , Otto 19081975 SLEDGEHAMMER , Operation Slessor , Sir John Cotesworth 18971979 Slim , Sir W illiam Joseph 18911970 Slovik , Edward Donald 19201945 Smith , Holland McT yeire 18821967 Smith , Julian Constable 18851975 Smith , Ralph Corbett 18931998 Smith , W alter Bedell 18951961 Smolensk , Battle July 10August 5 , 1941 Smuts , Jan Christian 18701950 Snipers Snorkel Sokolovsky , Vasily Danilovich 18971968 Solomon Islands , Naval Campaign August 1942February 1943 Somalia Somervell , Brehon Burke 18921955 Somerville , Sir James Fownes 18821949 Sonar Song Zheyuan 18851940 Sopwith , Sir Thomas Octave Murdoch 18881989 Sorge , Richard 18951944 Sosabowski , Stanisaw 18921967 Sosnkowski , Kazimierz 18851969 South Africa , Union Southeast Pacific Theater Southwest Pacific TheaterSoviet Union Soviet Union , Air Force Soviet Union , Army Soviet Union , Navy Soviet W omen Combat W ings 19421945 Soviet W riters , Union Spaatz , Carl Andrew ooey 18911974 Spain Spanish Civil W ar 19361939 Spears , Sir Edward Louis 18861974 Special Operations Executive Speer , Albert 19051981 Speidel , Hans 18971984 Sperrle , Hugo W alter 18851953 Spitsber gen Sports Athletics Sprague , Clifton Albert Frederick 18961955 Sprague , Thomas Lamison 18941972 Spruance , Raymond Ames 18861969 Stalin , Joseph 18791953 Stalingrad , Battle August 23 , 1942February 2 , 1943 Standley , William Harrison 18721963 Stark , Harold Raynsford Betty 18801972 STARVATION , Operation March 27August 15 , 1945 Stauf fenber g , Claus Philipp Schenk von 19071944 Steiner , Felix 18961966 Steinhof f , Johannes 19131994 Stephen Hopkins versus Stier September 27 , 1942 Stephenson , Sir W illiam Samuel 18961989 Stettinius , Edward Reilly , Jr"
123,1944,South Africa,Reza Shah sent exile die 1944 South Africa 
124,1944,Spain,"18961990 Sherman , Forrest Percival 18961951 Sherman , Frederick Carl 18881957 Shigemitsu Mamoru 18871957 Shimada Shigetaro 18831976 Shinano , IJN , Sinking November 29 , 1944 Ship Combat Information Center SH Plans Short , W alter Campbell 18801949Shtemenko , Ser gei Matveevich 19071976 Shumilov , Mikhail Stepanovich 18951975 Shuttle Bombing , Soviet Union JuneAugust 1944 Siberian Internment Japanese SICHELSCHNITT , Operation 1940 Sicily , Invasion July 9August 22 , 1943 Sicily , Strait Sidon , Engagement f June 9 , 1941 Siegfried Line , Breaking OctoberDecember 1944 Signals Intelligence Sikorski , Wadysaw Eugeniusz 18811943 Simonds , Guy Granville 19031974 Simovi , Duan 18821962 Simpson , W illiam Hood 18881980 Singapore , Battle February 815 , 1942 SinoJapanese W ar 19371945 Sirte , First Battle December 17 , 1941 Sirte , Second Battle March 22 , 1942 Sittang , Battle February 1823 , 1942 Sitzkrieg October 4 , 1939May 10 , 1940 Skerki Bank , Battle near December 2 , 1942 Skorzeny , Otto 19081975 SLEDGEHAMMER , Operation Slessor , Sir John Cotesworth 18971979 Slim , Sir W illiam Joseph 18911970 Slovik , Edward Donald 19201945 Smith , Holland McT yeire 18821967 Smith , Julian Constable 18851975 Smith , Ralph Corbett 18931998 Smith , W alter Bedell 18951961 Smolensk , Battle July 10August 5 , 1941 Smuts , Jan Christian 18701950 Snipers Snorkel Sokolovsky , Vasily Danilovich 18971968 Solomon Islands , Naval Campaign August 1942February 1943 Somalia Somervell , Brehon Burke 18921955 Somerville , Sir James Fownes 18821949 Sonar Song Zheyuan 18851940 Sopwith , Sir Thomas Octave Murdoch 18881989 Sorge , Richard 18951944 Sosabowski , Stanisaw 18921967 Sosnkowski , Kazimierz 18851969 South Africa , Union Southeast Pacific Theater Southwest Pacific TheaterSoviet Union Soviet Union , Air Force Soviet Union , Army Soviet Union , Navy Soviet W omen Combat W ings 19421945 Soviet W riters , Union Spaatz , Carl Andrew ooey 18911974 Spain Spanish Civil W ar 19361939 Spears , Sir Edward Louis 18861974 Special Operations Executive Speer , Albert 19051981 Speidel , Hans 18971984 Sperrle , Hugo W alter 18851953 Spitsber gen Sports Athletics Sprague , Clifton Albert Frederick 18961955 Sprague , Thomas Lamison 18941972 Spruance , Raymond Ames 18861969 Stalin , Joseph 18791953 Stalingrad , Battle August 23 , 1942February 2 , 1943 Standley , William Harrison 18721963 Stark , Harold Raynsford Betty 18801972 STARVATION , Operation March 27August 15 , 1945 Stauf fenber g , Claus Philipp Schenk von 19071944 Steiner , Felix 18961966 Steinhof f , Johannes 19131994 Stephen Hopkins versus Stier September 27 , 1942 Stephenson , Sir W illiam Samuel 18961989 Stettinius , Edward Reilly , Jr"
125,1944,Spain,"last troop return Spain April 1944 , although Spanish volunteer continued fight Germany afterward "
126,1944,Switzerland,"19001949 Stilwell , Joseph W arren 18831946 Stimson , Henry Lewis 18671950 Stirling , Sir Archibald David 19151990 STRANGLE , Operation March 15May 1 1 , 1944 Stratemeyer , Geor ge Edward 18901969 Stroop , Jr gen 18951952 Student , Kurt 18901978 Stlpnagel , Karl Heinrich von 18861944 Stlpnagel , Otto von 18781948 Stump , Felix Budwell 18941972 Submachine Guns Submarines Submarines , Midget Suez Canal Sugihara Chiune 19001986 Sugiyama Hajime 18801945 Sultan , Daniel Isom 18851947 Sunda Strait , Battle February 28March 1 , 1942Sun Liren 19001990 Suomussalmi , Battle December 7 , 1939January 8 , 1940 Sutherland , Richard Kerens 18931966 Suzuki Kantar 186718681948 Suzuki Sosaku 18911945 Suzuki eiichi 18881989 Sweden Swift , Innis Palmer 18821953 Swing , Joseph May 18941984 Switzerland Sydney , HMAS , Sinking November 19 , 1941 Sydney , Japanese Raid May 31 , 1942 Syria Syria Lebanon , Campaign June 8July 14 , 1941 Szabo , V iolette Bushnell 19211945 Taiwan Takagi Skichi 18931979 Takagi akeo 18921944 Takahashi Ib 18881947 Takamatsu Nobuhito , Imperial Prince Japan 19051987 Tanaka Raizo 18921969 Tanaka Shinichi 18931976 Tanaka Shizuichi 18871945 Tang , YOU.S "
127,1944,Switzerland,"September 11 , 1944 , Allied force advance German frontier relatively continuous front Switzerland Antwerp , Field Marshal Bernard Montgomery 21st Army Group north , General Omar N"
128,1944,Syria,"19001949 Stilwell , Joseph W arren 18831946 Stimson , Henry Lewis 18671950 Stirling , Sir Archibald David 19151990 STRANGLE , Operation March 15May 1 1 , 1944 Stratemeyer , Geor ge Edward 18901969 Stroop , Jr gen 18951952 Student , Kurt 18901978 Stlpnagel , Karl Heinrich von 18861944 Stlpnagel , Otto von 18781948 Stump , Felix Budwell 18941972 Submachine Guns Submarines Submarines , Midget Suez Canal Sugihara Chiune 19001986 Sugiyama Hajime 18801945 Sultan , Daniel Isom 18851947 Sunda Strait , Battle February 28March 1 , 1942Sun Liren 19001990 Suomussalmi , Battle December 7 , 1939January 8 , 1940 Sutherland , Richard Kerens 18931966 Suzuki Kantar 186718681948 Suzuki Sosaku 18911945 Suzuki eiichi 18881989 Sweden Swift , Innis Palmer 18821953 Swing , Joseph May 18941984 Switzerland Sydney , HMAS , Sinking November 19 , 1941 Sydney , Japanese Raid May 31 , 1942 Syria Syria Lebanon , Campaign June 8July 14 , 1941 Szabo , V iolette Bushnell 19211945 Taiwan Takagi Skichi 18931979 Takagi akeo 18921944 Takahashi Ib 18881947 Takamatsu Nobuhito , Imperial Prince Japan 19051987 Tanaka Raizo 18921969 Tanaka Shinichi 18931976 Tanaka Shizuichi 18871945 Tang , YOU.S "
130,1944,Lebanon,"19001949 Stilwell , Joseph W arren 18831946 Stimson , Henry Lewis 18671950 Stirling , Sir Archibald David 19151990 STRANGLE , Operation March 15May 1 1 , 1944 Stratemeyer , Geor ge Edward 18901969 Stroop , Jr gen 18951952 Student , Kurt 18901978 Stlpnagel , Karl Heinrich von 18861944 Stlpnagel , Otto von 18781948 Stump , Felix Budwell 18941972 Submachine Guns Submarines Submarines , Midget Suez Canal Sugihara Chiune 19001986 Sugiyama Hajime 18801945 Sultan , Daniel Isom 18851947 Sunda Strait , Battle February 28March 1 , 1942Sun Liren 19001990 Suomussalmi , Battle December 7 , 1939January 8 , 1940 Sutherland , Richard Kerens 18931966 Suzuki Kantar 186718681948 Suzuki Sosaku 18911945 Suzuki eiichi 18881989 Sweden Swift , Innis Palmer 18821953 Swing , Joseph May 18941984 Switzerland Sydney , HMAS , Sinking November 19 , 1941 Sydney , Japanese Raid May 31 , 1942 Syria Syria Lebanon , Campaign June 8July 14 , 1941 Szabo , V iolette Bushnell 19211945 Taiwan Takagi Skichi 18931979 Takagi akeo 18921944 Takahashi Ib 18881947 Takamatsu Nobuhito , Imperial Prince Japan 19051987 Tanaka Raizo 18921969 Tanaka Shinichi 18931976 Tanaka Shizuichi 18871945 Tang , YOU.S "
131,1944,Philippines,"Understanding Japanese concern American intention let Philippines become independent 1944 maintain base 1946 , Hitler assuredTokyo move promptly , Germany would join war United States "
132,1944,Philippines,"introduction napalm 1944 give another potent weapon close air supp ort fighter F4U Corsairthe combination use great effect Marianas JuneAugust 1944 Philippines October 20 , 1944August 15 , 1945 Okinawa MarchJune 1945 "
133,1944,Philippines,"Marianas , two prong Pacific strategy come together invasion Philippines October 1944 "
134,1944,Philippines,Eichelber ger assume command Eighth Army September 1944 lead Leyte Island Philippines December 
135,1944,Philippines,base Aitape July 1944 divert men supply MacArthur drive toward Philippines 
136,1944,Philippines,"Sent Philippines October 1944 staff officer Fourteenth Area Army , Hori assist General Yamashita Tomoyuki "
137,1944,Philippines,"campaign Burma , Malaya , Netherlands East Indies , Philippines involve 11 Japanese division , equivalent single army , conquest complete , single campaign , whether Southwest , Central , North Pacific , involve corp equivalent field Philippines 1944 1945 "
139,1944,Philippines,"process relocate headquarters Palau Davao southern Philippines operation , Koga plane lose severe storm March 31 , 1944 "
140,1944,Philippines,"midsummer 1944 , New Guinea Alliedhands , MacArthur ready return Philippines "
141,1944,Philippines,"Navy LST land much need supply equipment Leyte Island Philippines , 1944 "
142,1944,Philippines,"meeting Roosevelt Hawaii July 1944 , Admiral Chester Nimitz , command force Central Pacific , propo sed move Formosa , whereas MacArthur sought retake Philippines "
143,1944,Philippines,"Octo ber 1944 , nishi appoint commander First Air Fleet Philippines "
144,1944,Philippines,"landing Philippines October 1944 , Philippine government reestablish island Tacloban , Leyte , Octo ber 23 "
145,1944,Philippines,"Quezon die Saranac Lake , New York , August 1 , 1944 , month country liberation.The first president Philippines , Manuel Quezon , wife , Dona , 1942 "
146,1944,Philippines,"Promoted rear admiral August 1944 , Sprague command escort carrier Task Unit 77.4.3 Taffy 3 invasion Leyte Island Philippines October 20December 25 , 1944 "
147,1944,Philippines,Sutherland incur MacArthur displeasure ignore commander order not bring Australian officermistress Philippines 1944 
148,1944,Philippines,"July 1944 , Suzuki become commander new ThirtyFifth Army mission defend vast area central southern Philippines "
149,1944,Philippines,"amphibious assault , July 1944 President Franklin D.Roosevelt decid ed pursue conquest Philippines , follow Iwo Jima Okinawa rather Taiwan "
150,1944,Philippines,"fall 1944 , marine infantry aviation force support Gene ral Douglas MacArthur advance Philippines "
151,1944,Philippines,"General Headquarters , Southwest Pacific Area , Special Communiqu , Statement General Douglas MacArthur Leyte Island Landings Philippines , October 20 , 1944 204 "
152,1944,Philippines,"General Headquarters , Southwest Pacific Area , Special Communiqu , Statement General Douglas MacArthur Leyte Island Landings Philippines , October 20 , 1944Introduction October 1944 , General Douglas MacArthur force launch Philippine Cam paign , begin ninemonth effort retake former YOU.S "
153,1944,Philippines,"General Headquarters , Southwest Pacific Area , Special Communiqu , Statement General Douglas MacArthur Leyte Island Landings Philippines , October 20 , 1944 , 2249 2250 204 "
154,1944,Philippines,"General Headquarters , Southwest Pacific Area , Special Communiqu , Statement General Douglas MacArthur Leyte Island Landings Philippines , October 20 , 1944 , 22492250 doc "
155,1944,Germany,"Understanding Japanese concern American intention let Philippines become independent 1944 maintain base 1946 , Hitler assuredTokyo move promptly , Germany would join war United States "
156,1944,Germany,"Great Britain high annual production total reach 26,461 aircraft 1944 , compare 39,807 aircraft Germany year "
157,1944,Germany,"June 1944 Allied invasion Europe , Germany launch V 1 buzz bomb campaign earnest "
158,1944,Germany,"1944 , immense quantitative mobilization drive nearly double 1938 GDP United States 42 percent national income dedicate war , steadily increase Allied production ratio 3.31 Germany Italy almost 101 Japan "
159,1944,Germany,"late 1944 1945 , Germany longer control air territory , let alone battlefield France Eastern Front "
160,1944,Germany,"take decision , Leopold repair palace Laeken outside Brussels , remain self impose isolation next four year remove Germany June 1944 "
